,player,AD,VI,Ø,club,fixture,time,date
3266,Lucas Schoofs,7.0,7.0,7,Heracles Almelo,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3267,Kaj Sierhuis,6.0,6.0,6,Heracles Almelo,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3268,Rai Vloet,7.0,7.0,7,Heracles Almelo,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3269,Team Ø,6.23,6.59,,Heracles Almelo,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3270,Emil Bergström,5.5,5.0,5.25,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3271,Ulrik Jenssen,4.5,4.0,4.25,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3272,Anargyros Kampetsis,6.0,6.0,6,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3273,Mats Köhlert,6.5,7.5,7,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3274,Derrick Köhn,---,---,---,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3275,Ringo Meerveld,6.5,6.5,6.5,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3276,Miquel Nelom,---,---,---,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3277,Ché Nunnely,6.0,4.5,5.25,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3278,Leeroy Owusu,6.0,5.5,5.75,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3279,Pol Llonch,6.5,5.5,6,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3280,Driess Saddiki,6.0,5.5,5.75,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3281,Görkem Sağlam,5.0,5.0,5,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3282,Max Svensson,6.5,7.5,7,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3283,Timon Wellenreuther,7.0,6.0,6.5,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3284,Kwasi Wriedt,5.5,5.5,5.5,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3285,John Yeboah,---,---,---,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3286,Team Ø,5.96,5.69,,Willem II,Heracles Almelo - Willem II,20:00,2 Oktober 2021
3287,Ali Akman,7.0,7.5,7.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3288,Édgar Barreto,7.5,7.0,7.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3289,Mattijs Branderhorst,6.0,6.5,6.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3290,Jordy Bruijn,6.0,5.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3291,Souffian el Karouani,7.0,7.5,7.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3292,Iván Márquez,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3293,Magnus Mattsson,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3294,Cas Odenthal,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3295,Jonathan Okita,6.5,7.5,7,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3296,Lasse Schöne,7.5,7.5,7.5,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3297,Elayis Tavşan,6.5,8.0,7.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3298,Bart van Rooij,6.0,6.5,6.25,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3299,Calvin Verdonk,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3300,Javier Vet,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3301,Team Ø,6.73,7,,NEC Nijmegen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3302,Paulos Abraham,4.0,4.5,4.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3303,Wessel Dammers,5.5,6.0,5.75,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3304,Damil Dankerlui,5.0,5.5,5.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3305,Michael de Leeuw,5.0,5.5,5.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3306,Laros Duarte,5.0,6.0,5.5,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3307,Mo el Hankouri,4.0,4.5,4.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3308,Daleho Irandust,5.0,6.0,5.5,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3309,Patrick Joosten,---,---,---,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3310,Neraysho Kasanwirjo,5.0,5.5,5.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3311,Peter Leeuwenburgh,5.0,5.0,5,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3312,Cyril Ngonge,4.0,4.5,4.25,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3313,Romano Postema,---,---,---,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3314,Jørgen Strand Larsen,---,---,---,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3315,Tomáš Suslov,5.0,6.5,5.75,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3316,Marin Šverko,5.5,6.0,5.75,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3317,Bart van Hintum,5.5,5.5,5.5,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3318,Team Ø,4.88,5.46,,FC Groningen,NEC Nijmegen - FC Groningen,14:30,31 Oktober 2021
3319,Ali Akman,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3320,Édgar Barreto,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3321,Mattijs Branderhorst,6.0,5.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3322,Jordy Bruijn,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3323,Mikkel Duelund,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3324,Souffian el Karouani,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3325,Iván Márquez,5.0,6.5,5.75,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3326,Magnus Mattsson,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3327,Cas Odenthal,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3328,Jonathan Okita,6.0,5.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3329,Ole Romeny,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3330,Lasse Schöne,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3331,Elayis Tavşan,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3332,Bart van Rooij,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3333,Javier Vet,---,---,---,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3334,Team Ø,5.17,5.75,,NEC Nijmegen,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3335,Remco Balk,---,---,---,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3336,Othmane Boussaid,5.5,6.0,5.75,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3337,Anastasios Douvikas,7.0,7.0,7,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3338,Willem Janssen,---,---,---,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3339,Adam Maher,6.5,5.5,6,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3340,Mimoun Mahi,---,---,---,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3341,Maarten Paes,6.5,7.0,6.75,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3342,Bart Ramselaar,7.5,8.0,7.75,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3343,Moussa Sylla,5.5,5.0,5.25,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3344,Hidde ter Avest,6.5,6.0,6.25,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3345,Sander van de Streek,---,---,---,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3346,Mike van der Hoorn,6.5,6.5,6.5,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3347,Mark van der Maarel,6.5,6.5,6.5,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3348,Joris van Overeem,6.0,6.0,6,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3349,Django Warmerdam,6.5,7.0,6.75,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3350,Team Ø,6.41,6.41,,FC Utrecht,NEC Nijmegen - FC Utrecht,18:45,22 September 2021
3351,Ali Akman,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3352,Mattijs Branderhorst,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3353,Ilias Bronkhorst,---,---,---,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3354,Jordy Bruijn,---,---,---,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3355,Mikkel Duelund,---,---,---,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3356,Iván Márquez,4.0,4.5,4.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3357,Magnus Mattsson,6.0,5.0,5.5,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3358,Cas Odenthal,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3359,Dirk Proper,6.0,5.5,5.75,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3360,Rodrigo Guth,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3361,Ole Romeny,---,---,---,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3362,Lasse Schöne,6.0,6.5,6.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3363,Elayis Tavşan,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3364,Bart van Rooij,5.0,5.0,5,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3365,Calvin Verdonk,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3366,Team Ø,5.18,5.45,,NEC Nijmegen,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3367,Fredrik Aursnes,6.5,7.5,7,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3368,Justin Bijlow,6.0,6.0,6,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3369,Cyriel Dessers,---,---,---,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3370,Lutsharel Geertruida,6.0,6.5,6.25,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3371,Denzel Hall,---,---,---,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3372,Alireza Jahanbakhsh,7.0,7.5,7.25,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3373,Orkun Kökçü,7.5,8.0,7.75,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3374,Bryan Linssen,5.5,5.0,5.25,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3375,Tyrell Malacia,6.0,7.0,6.5,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3376,Reiss Nelson,6.0,6.0,6,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3377,Marcos Senesi,6.0,7.0,6.5,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3378,Luis Sinisterra,---,---,---,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3379,Guus Til,6.5,7.5,7,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3380,Jens Toornstra,---,---,---,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3381,Gernot Trauner,7.0,7.0,7,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3382,Team Ø,6.36,6.82,,Feyenoord,NEC Nijmegen - Feyenoord,12:15,23 Januari 2022
3383,Ali Akman,5.5,5.5,5.5,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3384,Mattijs Branderhorst,6.5,7.0,6.75,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3385,Jordy Bruijn,---,---,---,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3386,Iván Márquez,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3387,Magnus Mattsson,6.0,5.5,5.75,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3388,Cas Odenthal,5.5,6.0,5.75,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3389,Dirk Proper,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3390,Rodrigo Guth,6.0,6.0,6,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3391,Lasse Schöne,5.0,6.5,5.75,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3392,Elayis Tavşan,5.5,5.0,5.25,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3393,Bart van Rooij,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3394,Calvin Verdonk,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3395,Team Ø,5.64,5.95,,NEC Nijmegen,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3396,Sinan Bakış,5.0,5.0,5,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3397,Bilal Başaçıkoğlu,5.0,5.5,5.25,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3398,Janis Blaswich,5.5,6.0,5.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3399,Delano Burgzorg,---,---,---,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3400,Luca de la Torre,6.5,7.0,6.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3401,Noah Fadiga,5.5,6.0,5.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3402,Orestis Kiomourtzoglou,6.0,5.5,5.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3403,Mats Knoester,6.0,6.0,6,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3404,Nikolai Laursen,5.0,5.0,5,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3405,Giacomo Quagliata,5.5,6.0,5.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3406,Lucas Schoofs,5.5,6.0,5.75,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3407,Sven Sonnenberg,5.5,6.5,6,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3408,Rai Vloet,---,---,---,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3409,Team Ø,5.55,5.86,,Heracles Almelo,NEC Nijmegen - Heracles Almelo,18:45,15 Januari 2022
3410,Ali Akman,8.0,8.0,8,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3411,Édgar Barreto,---,---,---,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3412,Mattijs Branderhorst,6.5,7.0,6.75,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3413,Jordy Bruijn,6.0,5.5,5.75,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3414,Mikkel Duelund,7.5,6.5,7,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3415,Souffian el Karouani,6.0,5.5,5.75,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3416,Iván Márquez,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3417,Magnus Mattsson,---,---,---,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3418,Cas Odenthal,7.0,6.5,6.75,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3419,Jonathan Okita,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3420,Dirk Proper,6.5,6.0,6.25,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3421,Ole Romeny,---,---,---,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3422,Lasse Schöne,6.5,7.0,6.75,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3423,Elayis Tavşan,---,---,---,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3424,Bart van Rooij,6.5,6.5,6.5,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3425,Team Ø,6.77,6.59,,NEC Nijmegen,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3426,Pelle Clement,5.0,6.0,5.5,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3427,Mees de Wit,5.0,6.5,5.75,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3428,Dean Huiberts,5.5,6.0,5.75,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3429,Gervane Kastaneer,5.0,5.0,5,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3430,Sam Kersten,5.0,6.0,5.5,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3431,Kostas Lamprou,5.0,5.5,5.25,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3432,Chardi Landu,---,---,---,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3433,Kenneth Paal,---,6.0,6,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3434,Eliano Reijnders,---,---,---,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3435,Mustafa Saymak,---,---,---,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3436,Rico Strieder,5.0,6.0,5.5,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3437,Slobodan Tedić,5.5,4.5,5,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3438,Thomas van den Belt,6.0,6.0,6,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3439,Rav van den Berg,---,---,---,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3440,Bram van Polen,4.0,5.5,4.75,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3441,Team Ø,5.1,5.73,,PEC Zwolle,NEC Nijmegen - PEC Zwolle,20:00,20 Augustus 2021
3442,Mattijs Branderhorst,7.0,7.0,7,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3443,Ilias Bronkhorst,---,---,---,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3444,Jordy Bruijn,6.5,5.5,6,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3445,Mikkel Duelund,---,---,---,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3446,Souffian el Karouani,7.0,6.0,6.5,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3447,Magnus Mattsson,7.0,7.5,7.25,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3448,Cas Odenthal,7.0,5.5,6.25,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3449,Dirk Proper,6.5,5.5,6,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3450,Rodrigo Guth,7.0,5.5,6.25,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3451,Ole Romeny,---,---,---,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3452,Lasse Schöne,7.5,5.5,6.5,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3453,Elayis Tavşan,6.5,5.5,6,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3454,Bart van Rooij,7.0,5.5,6.25,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3455,Calvin Verdonk,7.0,6.0,6.5,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3456,Javier Vet,---,---,---,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3457,Team Ø,6.91,5.91,,NEC Nijmegen,NEC Nijmegen - PSV,20:00,12 December 2021
3458,André Ramalho,6.0,7.0,6.5,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3459,Olivier Boscagli,6.0,7.0,6.5,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3460,Bruma,6.0,6.0,6,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3461,Carlos Vinícius,6.5,7.5,7,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3462,Joël Drommel,5.0,6.0,5.5,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3463,Cody Gakpo,6.0,8.0,7,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3464,Mario Götze,5.5,7.0,6.25,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3465,Erick Gutiérrez,---,---,---,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3466,Mauro Júnior,6.0,7.0,6.5,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3467,Philipp Max,---,---,---,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3468,Maxi Romero,---,---,---,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3469,Ibrahim Sangaré,6.0,7.5,6.75,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3470,Jordan Teze,6.0,7.5,6.75,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3471,Marco van Ginkel,5.5,6.0,5.75,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3472,Yorbe Vertessen,---,---,---,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3473,Team Ø,5.86,6.95,,PSV,NEC Nijmegen - PSV,20:00,12 December 2021
3474,Ali Akman,6.0,6.0,6,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3475,Édgar Barreto,6.0,7.0,6.5,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3476,Mattijs Branderhorst,5.5,6.0,5.75,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3477,Souffian el Karouani,5.5,6.0,5.75,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3478,Iván Márquez,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3479,Magnus Mattsson,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3480,Cas Odenthal,5.0,6.0,5.5,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3481,Jonathan Okita,6.5,7.5,7,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3482,Dirk Proper,---,---,---,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3483,Rodrigo Guth,5.0,5.5,5.25,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3484,Lasse Schöne,5.0,7.5,6.25,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3485,Elayis Tavşan,6.5,6.0,6.25,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3486,Bart van Rooij,5.5,6.0,5.75,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3487,Calvin Verdonk,---,---,---,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3488,Javier Vet,---,---,---,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3489,Team Ø,5.54,6.25,,NEC Nijmegen,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3490,Shawn Adewoye,6.0,6.0,6,RKC Waalwijk,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3491,Vurnon Anita,6.5,5.5,6,RKC Waalwijk,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3492,Ayman Azhil,---,---,---,RKC Waalwijk,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3493,Saïd Bakari,---,---,---,RKC Waalwijk,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
3494,Alexander Büttner,6.5,6.0,6.25,RKC Waalwijk,NEC Nijmegen - RKC Waalwijk,16:30,19 Februari 2022
