player,AD,VI,Ø,club,home,away,time,date,hashtag
Luuk Brouwers,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Córdoba,7.0,7.5,7.25,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Mats Deijl,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Warner Hahn,6.0,5.0,5.5,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Jay Idzes,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Joris Kramer,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Isac Lidberg,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Boyd Lucassen,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Jacob Mulenga,---,---,---,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Gerrit Nauber,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Ragnar Oratmangoen,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Philippe Rommens,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Frank Ross,---,---,---,Go Ahead Eagles,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Jesse Bosch,---,---,---,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Vaclav Černý,5.0,5.5,5.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Dario Dumić,---,---,---,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Mees Hilgers,6.0,6.0,6,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Dimitris Limnios,5.0,5.5,5.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Virgil Misidjan,6.0,6.0,6,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Jayden Oosterwolde,5.5,6.0,5.75,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Robin Pröpper,6.0,6.5,6.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Daan Rots,5.0,5.5,5.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Michal Sadílek,6.5,6.5,6.5,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Giovanni Troupée,6.0,6.0,6,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Manfred Ugalde,---,---,---,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Lars Unnerstall,6.0,6.5,6.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Ricky van Wolfswinkel,5.5,8.0,6.75,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Michel Vlap,5.5,6.5,6,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Ramiz Zerrouki,7.0,7.5,7.25,FC Twente,Go Ahead Eagles,FC Twente,14:30,2021-12-05,gaetwe
Martijn Berden,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Giannis Botos,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Luuk Brouwers,6.0,7.5,6.75,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Córdoba,8.0,8.0,8,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Mats Deijl,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Warner Hahn,5.0,4.0,4.5,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Ogechika Heil,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Joris Kramer,6.5,7.5,7,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Bas Kuipers,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Boyd Lucassen,6.0,7.0,6.5,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Marc Cardona,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Gerrit Nauber,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Ragnar Oratmangoen,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Philippe Rommens,6.0,7.0,6.5,Go Ahead Eagles,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Martin Angha,5.5,5.5,5.5,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Deroy Duarte,6.5,5.0,5.75,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Arianit Ferati,6.0,5.5,5.75,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Zian Flemming,7.5,7.0,7.25,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Emil Hansson,6.5,5.5,6,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Ivo Pinto,6.0,4.5,5.25,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Ryan Johansson,6.5,5.0,5.75,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Toshio Lake,---,---,---,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Tijjani Noslin,---,---,---,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Ben Rienstra,7.0,6.5,6.75,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Bassala Sambou,---,---,---,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Mats Seuntjens,7.0,7.5,7.25,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Tesfaldet Tekie,7.0,7.0,7,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Yanick van Osch,5.5,4.0,4.75,Fortuna Sittard,Go Ahead Eagles,Fortuna Sittard,20:00,2021-10-31,gaefor
Giannis Botos,4.5,5.5,5,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Luuk Brouwers,8.0,7.5,7.75,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Córdoba,7.0,7.5,7.25,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Mats Deijl,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Warner Hahn,4.5,4.5,4.5,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Ogechika Heil,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Jay Idzes,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Joris Kramer,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Bas Kuipers,7.0,6.5,6.75,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Isac Lidberg,---,---,---,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Boyd Lucassen,5.5,6.0,5.75,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Marc Cardona,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Ragnar Oratmangoen,5.5,5.0,5.25,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Philippe Rommens,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Mohamed Amissi,---,---,---,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Sinan Bakış,---,---,---,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Bilal Başaçıkoğlu,5.0,5.0,5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Janis Blaswich,6.0,5.0,5.5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Delano Burgzorg,5.0,6.0,5.5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Noah Fadiga,5.5,6.5,6,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Orestis Kiomourtzoglou,5.0,6.5,5.75,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Mats Knoester,5.0,5.0,5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Nikolai Laursen,---,---,---,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Giacomo Quagliata,6.0,6.0,6,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Marco Rente,5.5,6.5,6,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Lucas Schoofs,5.5,5.5,5.5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Kaj Sierhuis,5.5,5.5,5.5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Sven Sonnenberg,---,---,---,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Rai Vloet,6.0,7.0,6.5,Heracles Almelo,Go Ahead Eagles,Heracles Almelo,18:45,2021-10-16,gaeher
Giannis Botos,5.0,5.5,5.25,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Luuk Brouwers,5.5,5.5,5.5,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Córdoba,5.0,5.5,5.25,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Mats Deijl,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Warner Hahn,6.0,5.5,5.75,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Ogechika Heil,---,---,---,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Jay Idzes,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Joris Kramer,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Bas Kuipers,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Isac Lidberg,5.0,5.0,5,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Boyd Lucassen,---,---,---,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Jacob Mulenga,---,---,---,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Gerrit Nauber,---,---,---,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Ragnar Oratmangoen,5.5,5.5,5.5,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Philippe Rommens,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Frank Ross,---,---,---,Go Ahead Eagles,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Ali Akman,---,---,---,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Mattijs Branderhorst,6.5,7.0,6.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Jordy Bruijn,6.5,6.0,6.25,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Mikkel Duelund,---,---,---,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Souffian el Karouani,5.5,6.0,5.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Iván Márquez,7.0,6.5,6.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Magnus Mattsson,5.5,6.0,5.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Cas Odenthal,7.0,6.5,6.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Dirk Proper,6.5,6.0,6.25,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Rodrigo Guth,7.0,6.5,6.75,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Lasse Schöne,6.0,6.5,6.25,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Elayis Tavşan,7.0,8.0,7.5,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Bart van Rooij,5.5,5.5,5.5,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Calvin Verdonk,6.0,6.0,6,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Javier Vet,---,---,---,NEC Nijmegen,Go Ahead Eagles,NEC Nijmegen,14:30,2021-12-19,gaenec
Martijn Berden,5.5,5.5,5.5,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Giannis Botos,7.5,7.5,7.5,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Luuk Brouwers,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Córdoba,5.5,5.0,5.25,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Mats Deijl,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Warner Hahn,6.5,7.0,6.75,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Ogechika Heil,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Joris Kramer,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Bas Kuipers,7.0,6.5,6.75,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Isac Lidberg,---,---,---,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Boyd Lucassen,7.0,6.5,6.75,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Marc Cardona,6.5,5.5,6,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Gerrit Nauber,7.0,6.5,6.75,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Ragnar Oratmangoen,6.5,5.5,6,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Philippe Rommens,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Dean Huiberts,6.5,6.0,6.25,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Gervane Kastaneer,---,---,---,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Sam Kersten,4.5,5.5,5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Ryan Koolwijk,---,---,---,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Kostas Lamprou,7.0,7.5,7.25,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Chardi Landu,5.0,6.0,5.5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Elikia Mbinga,4.5,5.0,4.75,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Yuta Nakayama,6.0,5.5,5.75,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Kenneth Paal,4.5,4.5,4.5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Daishawn Redan,6.0,5.5,5.75,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Eliano Reijnders,---,---,---,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Rico Strieder,4.0,5.0,4.5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Slobodan Tedić,5.0,5.0,5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Thomas van den Belt,5.0,5.0,5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Bram van Polen,5.5,5.5,5.5,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Siemen Voet,4.5,5.0,4.75,PEC Zwolle,Go Ahead Eagles,PEC Zwolle,12:15,2021-09-19,gaepec
Martijn Berden,6.0,5.5,5.75,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Giannis Botos,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Yacine Bourhane,---,---,---,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Luuk Brouwers,7.0,5.5,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Córdoba,7.5,7.5,7.5,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Mats Deijl,---,---,---,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Warner Hahn,6.0,6.5,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Ogechika Heil,6.5,5.0,5.75,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Joris Kramer,7.0,6.0,6.5,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Bas Kuipers,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Isac Lidberg,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Boyd Lucassen,6.5,5.0,5.75,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Marc Cardona,6.5,5.5,6,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Gerrit Nauber,7.5,6.5,7,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Ragnar Oratmangoen,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Philippe Rommens,6.5,6.0,6.25,Go Ahead Eagles,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
André Ramalho,6.0,6.0,6,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Olivier Boscagli,5.5,5.5,5.5,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Carlos Vinícius,---,---,---,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Ritsu Doan,5.0,6.0,5.5,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Joël Drommel,6.0,6.5,6.25,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Cody Gakpo,7.5,8.5,8,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Noni Madueke,5.5,5.5,5.5,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Philipp Max,5.0,5.5,5.25,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Phillipp Mwene,5.5,6.5,6,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Armando Obispo,5.5,5.5,5.5,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Davy Pröpper,---,---,---,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Jordan Teze,5.5,6.0,5.75,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Ryan Thomas,5.0,5.5,5.25,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Marco van Ginkel,6.0,7.5,6.75,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Yorbe Vertessen,---,---,---,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Eran Zahavi,5.0,6.0,5.5,PSV,Go Ahead Eagles,PSV,18:45,2021-09-22,gaepsv
Justin Bakker,5.0,6.0,5.5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Luuk Brouwers,5.5,---,5.5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Córdoba,5.0,5.0,5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Mats Deijl,5.5,6.5,6,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Warner Hahn,4.5,4.5,4.5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Ogechika Heil,4.5,5.0,4.75,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Jay Idzes,---,---,---,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Bas Kuipers,5.0,5.0,5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Isac Lidberg,4.5,5.0,4.75,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Boyd Lucassen,4.5,5.0,4.75,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Jacob Mulenga,---,---,---,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Gerrit Nauber,5.5,6.0,5.75,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Ragnar Oratmangoen,5.0,---,5,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Philippe Rommens,---,---,---,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Frank Ross,---,---,---,Go Ahead Eagles,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Shawn Adewoye,6.0,6.0,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Vurnon Anita,6.5,5.5,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Ayman Azhil,6.0,6.0,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Alexander Büttner,6.0,5.5,5.75,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Juriën Gaari,6.0,6.0,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Michiel Kramer,6.5,7.0,6.75,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Melle Meulensteen,6.5,6.5,6.5,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Jens Odgaard,6.5,6.0,6.25,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Yassin Oukili,---,---,---,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Finn Stokkers,7.5,6.5,7,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Etienne Vaessen,7.0,7.0,7,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Dario Van Den Buijs,6.0,6.0,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Richard van der Venne,6.0,5.5,5.75,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Luuk Wouters,6.0,6.0,6,RKC Waalwijk,Go Ahead Eagles,RKC Waalwijk,21:00,2022-01-15,gaerkc
Justin Bakker,6.5,6.5,6.5,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
Martijn Berden,5.5,5.5,5.5,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
Giannis Botos,---,---,---,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
Luuk Brouwers,5.5,6.0,5.75,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
Mats Deijl,6.0,6.0,6,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
Warner Hahn,7.5,6.5,7,Go Ahead Eagles,Go Ahead Eagles,sc Heerenveen,20:00,2021-08-13,gaehee
